Identifier,Taxa1,Taxa2,Taxa3
SMGC_1,p__Bacteroidota,g__F0040,s__
SMGC_2,p__Firmicutes_A,g__Ruminococcus_D,s__Ruminococcus_D bicirculans
SMGC_3,p__Actinobacteriota,g__Kocuria,s__Kocuria salsicia
SMGC_4,p__Firmicutes_A,g__Gemmiger,s__Gemmiger formicilis
SMGC_5,p__Bacteroidota,g__Porphyromonas,s__
SMGC_6,p__Firmicutes_A,g__Agathobacter,s__Agathobacter rectale
SMGC_7,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_8,p__Firmicutes,g__Jeotgalicoccus,s__Jeotgalicoccus marinus
SMGC_9,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium riegelii
SMGC_10,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_11,p__Firmicutes,g__Staphylococcus,s__
SMGC_12,p__Firmicutes_A,g__Lagierella,s__
SMGC_13,p__Firmicutes_A,g__Peptoniphilus_C,s__
SMGC_14,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_15,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_16,p__Actinobacteriota,g__Tessaracoccus_A,s__
SMGC_17,p__Firmicutes,g__Ignavigranum,s__Ignavigranum ruoffiae
SMGC_18,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium frankenforstense
SMGC_19,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium otitidis
SMGC_20,p__Firmicutes,g__Staphylococcus,s__Staphylococcus capitis
SMGC_21,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter baumannii
SMGC_22,p__Crenarchaeota,g__,s__
SMGC_23,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp000755185
SMGC_24,p__Actinobacteriota,g__Rothia,s__
SMGC_25,p__Firmicutes,g__Facklamia,s__Facklamia languida
SMGC_26,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_27,p__Proteobacteria,g__Stenotrophomonas,s__Stenotrophomonas maltophilia_A
SMGC_28,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium humerusii
SMGC_29,p__Firmicutes_A,g__Anaerococcus,s__Anaerococcus sp002359915
SMGC_30,p__Firmicutes_A,g__Anaerococcus,s__Anaerococcus octavius
SMGC_31,p__Firmicutes_A,g__Peptoniphilus_A,s__Peptoniphilus_A rhinitidis
SMGC_32,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_33,p__Actinobacteriota,g__Dermabacter,s__Dermabacter hominis
SMGC_34,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_35,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp001812805
SMGC_36,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium namnetense
SMGC_37,p__Proteobacteria,g__Paracoccus,s__Paracoccus sp000967825
SMGC_38,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_39,p__Actinobacteriota,g__Nesterenkonia,s__
SMGC_40,p__Actinobacteriota,g__Pseudoclavibacter,s__Pseudoclavibacter alba
SMGC_41,p__Proteobacteria,g__Serratia,s__Serratia marcescens_I
SMGC_42,p__Actinobacteriota,g__Rothia,s__
SMGC_43,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium matruchotii
SMGC_44,p__Actinobacteriota,g__Pauljensenia,s__Pauljensenia sp000185285
SMGC_45,p__Firmicutes_C,g__Veillonella,s__Veillonella parvula_A
SMGC_46,p__Firmicutes,g__Facklamia_A,s__Facklamia_A ignava
SMGC_47,p__Firmicutes_A,g__Mogibacterium,s__
SMGC_48,p__Campylobacterota,g__Campylobacter_B,s__Campylobacter_B ureolyticus_A
SMGC_49,p__Bacteroidota,g__Porphyromonas,s__Porphyromonas somerae
SMGC_50,p__Firmicutes_A,g__S5-A14a,s__S5-A14a sp000758905
SMGC_51,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium coyleae
SMGC_52,p__Bacteroidota,g__Prevotella,s__
SMGC_53,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter johnsonii
SMGC_54,p__Proteobacteria,g__Acinetobacter,s__
SMGC_55,p__Firmicutes,g__Streptococcus,s__
SMGC_56,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium afermentans
SMGC_57,p__Firmicutes,g__Staphylococcus,s__Staphylococcus auricularis
SMGC_58,p__Proteobacteria,g__Aeromonas,s__Aeromonas rivipollensis
SMGC_59,p__Proteobacteria,g__Pseudomonas_E,s__
SMGC_60,p__Actinobacteriota,g__Gordonia,s__Gordonia sp002009645
SMGC_61,p__Actinobacteriota,g__Mycolicibacterium,s__Mycolicibacterium bacteremicum
SMGC_62,p__Actinobacteriota,g__Rhodococcus,s__Rhodococcus kroppenstedtii
