feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG26	ST	768	-0.628205860348657	0.00681098426867325	1101	1101	0	0
KEGG124	ST	86	0.995251401516181	0.0218369811612545	1101	1101	1.71944081427807e-252	1.03682281100968e-249
KEGG51	ST	768	-0.374053685879469	0.00887700717433845	1101	1101	3.8842966515407e-229	1.56148725391936e-226
KEGG43	ST	329	-0.331747975961704	0.00948813320269357	1101	1101	3.93820575536372e-179	1.18736903524216e-176
KEGG64	ST	329	-0.272498548423352	0.00860822902243105	1101	1101	1.1739518269498e-155	2.83157180660292e-153
KEGG124	ST	203	1.06714739943043	0.0339687951571138	1101	1101	6.40208715784034e-154	1.28681951872591e-151
KEGG31	ST	5	3.04970981174851	0.100467114309776	1101	779	7.73262291570157e-147	1.33222046233373e-144
KEGG124	ST	218	1.0829642251568	0.039726648945931	1101	1101	6.32164454869062e-125	9.52987915715111e-123
KEGG124	ST	59	1.15250355534404	0.0433119165753753	1101	1101	2.53448346799904e-120	3.39620784711872e-118
KEGG19	ST	218	-0.0911888123781172	0.00345343760883778	1101	1101	6.11177610126854e-119	7.37080197812986e-117
KEGG31	ST	73	2.53649312671329	0.0961208380539388	1101	779	8.78757973448681e-119	9.63438287253736e-117
KEGG4	ST	218	-0.0874556429103725	0.00333584625178782	1101	1101	1.21682754131604e-117	1.22291167902262e-115
KEGG41	ST	218	-0.0854290896798994	0.00331809236382781	1101	1101	2.31687689565386e-114	2.14934887396812e-112
KEGG21	ST	218	-0.0868566589096604	0.00342397823267097	1101	1101	1.01154722571305e-111	8.71375681578527e-110
KEGG2	ST	218	-0.0897920957108587	0.00355074186669422	1101	1101	3.71485640460674e-111	2.98674454930382e-109
KEGG61	ST	218	-0.0903315863470194	0.00359905316690651	1101	1101	7.82921532978484e-110	5.90127105482532e-108
KEGG124	ST	487	0.930599222171085	0.0376875573068456	1101	1101	5.8706170666115e-107	4.16468481313734e-105
KEGG31	ST	35	3.13065985637801	0.126838211808247	1101	779	8.51635140120465e-107	5.70595543880711e-105
KEGG11	ST	218	-0.0870743876915808	0.0036181444138758	1101	1101	9.80711955108705e-103	6.22494009400578e-101
KEGG3	ST	218	-0.0909320984400281	0.00383166154903481	1101	1101	2.12496360909558e-100	1.28135305628464e-98
KEGG64	ST	86	-0.159977763421453	0.00680708194128816	1101	1101	8.16386584051832e-99	4.68839152555481e-97
KEGG39	ST	218	-0.0882180735464981	0.00385016508504268	1101	1101	7.43483357225754e-95	4.07564058551936e-93
KEGG31	ST	218	3.06033532178975	0.133805145302894	1101	779	1.60558894676964e-94	8.41887073827908e-93
KEGG31	ST	766	2.5568238141582	0.11727212813215	1101	779	1.60934657793111e-87	8.08696655410384e-86
KEGG75	ST	218	-0.086623622853328	0.00404651000391695	1101	1101	8.93624363770465e-85	4.31084393082872e-83
KEGG66	ST	89	-0.292904965513727	0.0135699812457639	1101	1101	1.53657270712617e-84	7.12733340305445e-83
KEGG34	ST	766	1.76413259534113	0.0830952550765233	1101	117	9.97899991335506e-84	4.45728662796526e-82
KEGG44	ST	218	-0.0862046807720803	0.0040753215971734	1101	1101	4.2646736013599e-83	1.8368558440143e-81
KEGG40	ST	218	-0.0784584659746833	0.00371453313813139	1101	1101	5.00127183370753e-83	2.07983925222458e-81
KEGG54	ST	89	-0.293553913735762	0.0139010891099302	1101	1101	1.50023561954071e-81	6.03094719055367e-80
KEGG4	ST	766	-0.0601102382076375	0.00291267696344149	1101	1101	6.44685973691245e-80	2.50803640087626e-78
KEGG124	ST	5	0.606272659168801	0.0297536580591325	1101	1101	2.53898631239625e-78	9.56880466484336e-77
KEGG4	ST	5	-0.0506599759021799	0.00250114450064554	1101	1101	1.39985228866097e-77	5.11582381856101e-76
KEGG45	ST	218	-0.0794061990395951	0.0039418199063455	1101	1101	1.29568286801672e-76	4.5958633494946e-75
KEGG41	ST	766	-0.058255681028809	0.00289788334552154	1101	1101	1.6708042022062e-76	5.75711390817337e-75
KEGG81	ST	218	-0.0900871446026317	0.0044749093780061	1101	1101	2.62170760719186e-76	8.78272048409272e-75
KEGG21	ST	766	-0.0596166215922533	0.00299140626004722	1101	1101	2.09052054208486e-75	6.81396695609282e-74
KEGG41	ST	5	-0.049417179416944	0.00248805271544983	1101	1101	4.41804760075463e-75	1.40214879118686e-73
KEGG19	ST	766	-0.0595032103054931	0.00301653187429299	1101	1101	4.03830409077927e-74	1.24876788037943e-72
KEGG7	ST	218	-0.0942696806440784	0.00476378618499151	1101	1101	5.94011526114227e-74	1.79094475123439e-72
KEGG31	ST	487	2.49564902749732	0.127544719119062	1101	779	3.24111855714011e-73	9.53363165831945e-72
KEGG2	ST	766	-0.0600959448628888	0.00310349988911429	1101	1101	7.42925191022072e-72	2.13325661993481e-70
KEGG21	ST	5	-0.0492919369755928	0.00256777798824594	1101	1101	6.70669716934604e-71	1.88099460144914e-69
KEGG53	ST	218	-0.0899484731941895	0.00467567606397119	1101	1101	1.43704206586101e-70	3.85212438448488e-69
KEGG62	ST	218	-0.0899477835801968	0.00467564475674095	1101	1101	1.43735984495704e-70	3.85212438448488e-69
KEGG19	ST	5	-0.0493319400096861	0.00258967896055886	1101	1101	5.50973753637965e-70	1.44450944975519e-68
KEGG11	ST	766	-0.0597947567908331	0.00316474251024703	1101	1101	6.08029969816364e-69	1.56017902893305e-67
KEGG61	ST	766	-0.0594444374595683	0.0031467061461056	1101	1101	6.37471751295673e-69	1.60164777513038e-67
KEGG16	ST	218	-0.0861169867932758	0.00455592706012387	1101	1101	1.65749508907196e-68	4.07946750494037e-67
KEGG34	ST	218	1.77431463750729	0.0954583149201515	1101	117	4.0109130370678e-67	9.67432224540753e-66
KEGG11	ST	5	-0.0499975090154958	0.00271457127488328	1101	1101	4.24469194525654e-66	1.00374480117243e-64
KEGG2	ST	5	-0.0489688485579303	0.00266326809139882	1101	1101	6.60026337586167e-66	1.53075339063253e-64
KEGG73	ST	218	2.10623079933378	0.115277556166993	1101	246	3.35365810705198e-65	7.63115410774468e-64
KEGG61	ST	5	-0.049277477847877	0.00269981714528137	1101	1101	4.35536958235892e-65	9.72699206726825e-64
KEGG40	ST	766	-0.0590616116013377	0.00325485572567254	1101	1101	2.22210230812318e-64	4.87246433381191e-63
KEGG46	ST	218	-0.0852301311328181	0.00476932277160711	1101	1101	4.73364976338781e-62	1.01942528832959e-60
KEGG3	ST	766	-0.059314559133472	0.00335494688762363	1101	1101	1.40503192834995e-61	2.97275176419306e-60
KEGG75	ST	5	-0.0536499180768347	0.00303972195792431	1101	1101	1.9340084248964e-61	4.02140372487079e-60
KEGG56	ST	86	0.139967490403454	0.00794404802207069	1101	1101	3.14210089089232e-61	6.42266724477312e-60
KEGG40	ST	5	-0.0490676803613926	0.00278880496814682	1101	1101	4.01894261513924e-61	8.07807465642988e-60
KEGG39	ST	766	-0.0577542988692771	0.00337264900919189	1101	1101	2.68685350657431e-58	5.3120415228338e-57
KEGG3	ST	5	-0.0492121775323085	0.00287589374496762	1101	1101	2.84217661060182e-58	5.5284919232029e-57
KEGG45	ST	766	-0.058707417125438	0.00346113920120328	1101	1101	2.34429570500617e-57	4.48765177815467e-56
KEGG80	ST	218	-0.0901100083436389	0.00526312761928627	1101	1101	2.82868155380007e-57	5.33029680294201e-56
KEGG69	ST	218	-0.0901095244156461	0.00526523385112279	1101	1101	3.11844646586588e-57	5.78591759666809e-56
KEGG68	ST	218	-0.084969821022772	0.00501719523165989	1101	1101	5.05343969961917e-57	9.23401254203139e-56
KEGG75	ST	766	-0.0595731523630499	0.00355065722672625	1101	1101	2.76021889189143e-56	4.96839400540457e-55
KEGG42	ST	218	-0.0874687510237148	0.00519402721194398	1101	1101	1.17914409603397e-55	2.09124673502495e-54
KEGG9	ST	218	-0.0873242447776657	0.00518986191077442	1101	1101	1.21652764131017e-55	2.1262787469856e-54
KEGG95	ST	73	0.566256368025996	0.0340914221234617	1101	1100	2.37048809889424e-55	4.08401235323779e-54
KEGG4	ST	73	-0.0396719502935086	0.00238896613926882	1101	1101	2.67173874077393e-55	4.53819284700473e-54
KEGG39	ST	5	-0.0479712154005069	0.00289028131355565	1101	1101	2.80474147038441e-55	4.69794196289389e-54
KEGG44	ST	766	-0.0592920104225253	0.00357729543815939	1101	1101	4.11195929210533e-55	6.79318206339592e-54
KEGG49	ST	218	-0.0845136314070338	0.00507967608875031	1101	1101	1.78287340133212e-54	2.90560178649533e-53
KEGG124	ST	89	0.609881552594954	0.0371172331489825	1101	1101	2.93961485583232e-54	4.72690068817837e-53
KEGG60	ST	218	-0.0940838542609612	0.00567972732200401	1101	1101	8.42089834600376e-54	1.33626360595797e-52
KEGG44	ST	5	-0.0490685333430602	0.00306183602423835	1101	1101	5.2535396882745e-52	8.22827125202474e-51
KEGG16	ST	5	-0.0547085554573608	0.00342935957075581	1101	1101	1.51895622440113e-51	2.34854000849713e-50
KEGG2	ST	73	-0.040476686191465	0.0025449879021741	1101	1101	2.58986354949602e-51	3.95363979834455e-50
KEGG53	ST	766	-0.0654916318590149	0.00412285808545446	1101	1101	3.29731917614968e-51	4.91410400777331e-50
KEGG62	ST	766	-0.0654908725955229	0.0041228297452099	1101	1101	3.30051761716118e-51	4.91410400777331e-50
KEGG57	ST	218	-0.0917800053709651	0.00569690921505185	1101	1101	3.80196216244623e-51	5.59166630232946e-50
KEGG45	ST	5	-0.0470041345859802	0.00296189452367969	1101	1101	3.99685161183725e-51	5.80747354683822e-50
KEGG34	ST	768	1.72966808997187	0.109357835492764	1101	117	8.97630719075796e-51	1.28874124667311e-49
KEGG21	ST	73	-0.0384382837912034	0.00245326442201991	1101	1101	5.43903936489803e-50	7.71703702831415e-49
KEGG7	ST	766	-0.0657256360395286	0.00420155044798026	1101	1101	7.37751310114774e-50	1.03456753488188e-48
KEGG4	ST	35	-0.0493718585241124	0.00316171743279026	1101	1101	1.01421937501019e-49	1.4059178922555e-48
KEGG19	ST	73	-0.0385505518393824	0.0024739641834871	1101	1101	1.62971936869018e-49	2.23345631663677e-48
KEGG41	ST	73	-0.0367634371316614	0.00237672226720779	1101	1101	7.00750822382645e-49	9.49556732352213e-48
KEGG14	ST	218	-0.0841176946261859	0.00537262354158069	1101	1101	9.94690537078287e-49	1.3328853196849e-47
KEGG22	ST	218	-0.0860249424247721	0.0055124219068331	1101	1101	2.04083302485415e-48	2.70466442634516e-47
KEGG35	ST	218	-0.0836405498867084	0.00545553506254861	1101	1101	4.26420411141895e-47	5.52970984771102e-46
KEGG36	ST	218	-0.0836405498867084	0.00545553506254861	1101	1101	4.26420411141895e-47	5.52970984771102e-46
