intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
2720000,0.0018955100106622439,0.9679715302491103,0.0018955100106622439,0.059491912275478814,44.080882352941174,41.0,21.727102601514712,GCA_000280745.1_S.aureus_GR1_1.0_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,90f3599f7ca15def3937deb5afeda3e5,0.9679715302491103,2720000,0,2330000,data/metagenome_analyses/strain_tracking/sigs/ERR4605112.fastq.gz,,079ece8c,1434970000
2460000,0.001714321553760706,0.4201954397394137,0.0008989734977037847,0.003359134663094175,5.248062015503876,3.0,6.939417806994334,GCA_008462245.1_ASM846224v1_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,05505786cdd234041bc3cfad2d4a4833,0.8013029315960912,1290000,1,1040000,data/metagenome_analyses/strain_tracking/sigs/ERR4605112.fastq.gz,,079ece8c,1434970000
2690000,0.001874603650250528,0.2052980132450331,0.0004320647818421291,0.0038404286990175646,12.483870967741936,10.0,7.536453207649644,GCA_900458325.1_41594_G01_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,7db937d71bf56dbf46a2ab208b75ff48,0.890728476821192,620000,2,420000,data/metagenome_analyses/strain_tracking/sigs/ERR4605112.fastq.gz,,079ece8c,1434970000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs/ERR4605113.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs/ERR4605114.fastq.gz,NA,NA,NA
2740000,0.0018975200659284343,0.958041958041958,0.0018975200659284343,0.017487413090385998,13.31021897810219,12.0,6.57262387662503,GCA_000361045.1_Stap_aure_M0396_V1_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,9e7a2a5ec028598e1985c38a0f2a74b5,0.958041958041958,2740000,0,970000,data/metagenome_analyses/strain_tracking/sigs/ERR4605115.fastq.gz,,130424c4,1443990000
2460000,0.0017036129059065507,0.2248062015503876,0.0004016648314739022,0.0014672740350035963,5.275862068965517,5.0,3.1282533600115103,GCA_900125945.1_17175_2_28_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,e6d983e7c2d1604b5744df5bf5f7f11a,0.9534883720930233,580000,1,390000,data/metagenome_analyses/strain_tracking/sigs/ERR4605115.fastq.gz,,130424c4,1443990000
2150000,0.0014889299787394649,0.03558718861209965,6.925255715067279e-05,0.0004075761208343323,8.5,4.5,10.0821624664553,GCA_000280745.1_S.aureus_GR1_1.0_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,90f3599f7ca15def3937deb5afeda3e5,0.7651245551601423,100000,2,290000,data/metagenome_analyses/strain_tracking/sigs/ERR4605115.fastq.gz,,130424c4,1443990000
1560000,0.0013463828905804982,0.5611510791366906,0.0013463828905804982,0.0020364998395683404,1.9935897435897436,2.0,1.242912186554042,GCA_903811855.1_22276_6_47_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,b5bdb49845be06adf5ef09b8fb3fcdce,0.5611510791366906,1560000,0,80000,data/metagenome_analyses/strain_tracking/sigs/ERR4605116.fastq.gz,,a40f1abc,1158660000
230000,0.0001460938939104254,0.09126984126984126,0.0001460938939104254,0.00013639869809794366,1.2608695652173914,1.0,0.43910891036356864,GCA_018914355.1_ASM1891435v1_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,d6d5b2ffcc8d2f21c3dc6aef0a48eb2c,0.09126984126984126,230000,0,0,data/metagenome_analyses/strain_tracking/sigs/ERR4605117.fastq.gz,,b807a7e8,1574330000
2610000,0.0024182564463675195,0.9961832061068703,0.0024182564463675195,0.0967305369731128,86.53639846743295,87.0,37.37943091097291,GCA_003017735.1_ASM301773v1_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,126e853291ce0042451a654bdc751e15,0.9961832061068703,2610000,0,520000,data/metagenome_analyses/strain_tracking/sigs/ERR4605118.fastq.gz,,45a9ca4a,1079290000
1910000,0.0017696819205218245,0.04819277108433735,0.0001482456059075874,0.0023169760250798736,33.8125,2.5,41.806427062713695,GCA_001641045.1_ASM164104v1_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,4bb4009e399bda9006e1ba415ea2b2fd,0.5753012048192772,160000,1,360000,data/metagenome_analyses/strain_tracking/sigs/ERR4605118.fastq.gz,,45a9ca4a,1079290000
170000,0.0002424311566818305,0.021963824289405683,0.0002424311566818305,0.00014850985214359122,1.4705882352941178,1.0,0.4991341984846218,GCA_001228205.1_5364_3_8_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,5f111f757d21628577211b35f58db2d5,0.021963824289405683,170000,0,0,data/metagenome_analyses/strain_tracking/sigs/ERR4605119.fastq.gz,,8900775c,701230000
270000,0.0003585847853803655,0.03488372093023256,0.0003585847853803655,0.00024414724791796654,1.6666666666666667,2.0,0.5443310539518174,GCA_001228205.1_5364_3_8_genomic.fna,data/metagenome_analyses/strain_tracking/saureus/genomes/final_drep/dereplicated_genomes/genome.sig,5f111f757d21628577211b35f58db2d5,0.03488372093023256,270000,0,0,data/metagenome_analyses/strain_tracking/sigs/ERR4605120.fastq.gz,,12dcace7,752960000
