gene	hits	maxp	avg_af	avg_maf	avg_beta
opuCC	6	6.37778597703	0.352416666667	0.352416666667	16.85
ref_01294	1	5.85078088734	0.0335	0.0335	16.4
rclA	16	6.85387196432	0.227525	0.227525	17.69375
tusA	1	7.96257350206	0.0191	0.0191	20.4
speA	12	6.17134010346	0.286266666667	0.286266666667	17.1916666667
lacE	2	7.2076083105	0.5	0.5	13.4
lacG	1	6.55284196866	0.0574	0.0574	17.3
ref_02081	6	7.00524305541	0.943	0.057	18.1
ref_02080	6	7.00524305541	0.943	0.057	18.1
dtpT	1	5.85078088734	0.0335	0.0335	16.4
ref_00387	1	15.0767559814	0.986	0.014	27.5
ref_00269	37	7.79048498546	0.499972972973	0.499972972973	18.7248648649
xerD_3	4	6.72815839346	0.0287	0.0287	17.8
apbE	12	6.34678748622	0.493333333333	0.493333333333	17.2833333333
crcB_2	4	8.96657624451	0.725	0.275	15.775
ref_00049	2	6.74957999769	0.9405	0.0595	17.5
ref_02309	15	7.96257350206	0.45936	0.45936	17.5866666667
ref_00043	3	7.96257350206	0.0191	0.0191	20.4
ref_00045	1	7.96257350206	0.0191	0.0191	20.4
ref_00044	3	7.96257350206	0.0191	0.0191	20.4
ref_00168	10	7.96257350206	0.21335	0.21335	17.97
ref_00169	5	6.57839607313	0.37436	0.37436	17.46
ref_02351	7	6.17134010346	0.300671428571	0.300671428571	16.04
ref_02299	7	7.96257350206	0.304914285714	0.304914285714	19.6857142857
bceA_2	4	7.96257350206	0.50005	0.49995	20.4
ref_01067	2	42.7328282716	0.0144	0.0144	29.4
gdpP	15	7.34582345812	0.40288	0.40288	17.7933333333
yacP	6	7.79048498546	0.634566666667	0.365433333333	20.0
folP	6	7.96257350206	0.636366666667	0.363633333333	19.5333333333
nfrA	3	7.96257350206	0.365266666667	0.365266666667	20.2666666667
yacL	62	7.79048498546	0.589366129032	0.410633870968	19.3919354839
cysE	27	7.79048498546	0.514137037037	0.485862962963	19.7444444444
est_2	2	6.69897000434	0.05265	0.05265	17.95
rpoC	78	7.96257350206	0.550424358974	0.449575641026	18.1329487179
rpoB	83	7.79048498546	0.492010843373	0.492010843373	19.021686747
cysS	38	7.79048498546	0.503878947368	0.496121052632	16.7192105263
gltX	58	7.79048498546	0.498924137931	0.498924137931	19.4396551724
ref_02280|ref_02281	1	6.37778597703	0.0144	0.0144	18.1
ref_02332	11	7.96257350206	0.0278454545455	0.0278454545455	18.3181818182
ref_02331	11	7.96257350206	0.0308818181818	0.0308818181818	18.5090909091
ref_02330	4	7.34582345812	0.04905	0.04905	17.625
gltA	6	7.96257350206	0.512816666667	0.487183333333	20.3333333333
ref_02339	8	7.34582345812	0.3952625	0.3952625	18.2875
rpsG	8	7.79048498546	0.4006	0.4006	19.8875
rpsF	6	5.93930215965	0.350866666667	0.350866666667	16.5333333333
mnmG	8	7.96257350206	0.51365	0.48635	18.6125
gpmA_2	11	7.96257350206	0.2014	0.2014	18.6272727273
rpsL	6	7.79048498546	0.49505	0.49505	18.65
perR	16	15.0767559814	0.7323875	0.2676125	24.1125
rpsR	25	15.0767559814	0.390132	0.390132	19.032
fbe	9	7.96257350206	0.339166666667	0.339166666667	18.3
typA	3	6.47625353319	0.909333333333	0.0906666666667	17.3333333333
ref_00223	1	7.96257350206	0.0191	0.0191	20.4
cntE_1	14	7.07417242538	0.4252	0.4252	17.7714285714
ref_00220	1	7.96257350206	0.0191	0.0191	20.4
ref_00224	2	7.96257350206	0.0574	0.0574	20.2
ref_01938	8	7.00524305541	0.937	0.063	17.7125
ref_01939	12	12.474955193	0.859541666667	0.140458333333	17.5583333333
sdrF	11	7.96257350206	0.0187	0.0187	19.4727272727
rplGB	21	7.79048498546	0.632966666667	0.367033333333	19.5571428571
mcsB|clpC	2	7.79048498546	0.49745	0.49745	19.4
isaB_1	8	7.96257350206	0.0454375	0.0454375	18.8
ndhB	54	7.96257350206	0.443275925926	0.443275925926	18.4962962963
ref_00086	3	7.96257350206	0.0175333333333	0.0175333333333	19.6333333333
ref_00085	4	7.96257350206	0.017925	0.017925	19.825
murA2	2	6.52870828894	0.4787	0.4787	17.7
purR	3	6.17134010346	0.3396	0.3396	17.2666666667
mnmE	7	6.37778597703	0.566114285714	0.433885714286	16.9857142857
tilS	39	6.79860287568	0.508958974359	0.491041025641	17.1025641026
purA	20	7.96257350206	0.11676	0.11676	19.31
ref_01307	3	16.651695137	0.615766666667	0.384233333333	16.3666666667
btuD_8	6	7.96257350206	0.0566	0.0566	18.7333333333
zupT_2	5	6.52870828894	0.9372	0.0628	16.98
ref_00011	5	7.96257350206	0.41338	0.41338	18.1
ref_00013	8	7.96257350206	0.38875	0.38875	18.4625
secE	10	7.79048498546	0.57648	0.42352	19.73
cdaA	19	15.0767559814	0.759484210526	0.240515789474	23.4631578947
coaE	1	5.85078088734	0.0335	0.0335	16.4
ref_00022	20	7.96257350206	0.408405	0.408405	17.95
farB	1	7.96257350206	0.0191	0.0191	20.4
mccA	14	6.85387196432	0.365385714286	0.365385714286	17.5357142857
mccB	27	7.1214782045	0.449288888889	0.449288888889	17.6592592593
hslO	23	6.47625353319	0.439608695652	0.439608695652	17.4608695652
gpmA_2|rhtC	2	7.96257350206	0.04305	0.04305	19.05
mcsA|mcsB	2	7.46092390121	0.5	0.5	19.1
nnrD	7	6.57839607313	0.0410142857143	0.0410142857143	17.7142857143
ref_00267	17	7.79048498546	0.473876470588	0.473876470588	17.5082352941
ref_00309	19	7.96257350206	0.420547368421	0.420547368421	18.2789473684
ref_00285	14	7.96257350206	0.237835714286	0.237835714286	18.1071428571
ref_00284	30	7.96257350206	0.206023333333	0.206023333333	18.1233333333
ref_00287	10	6.85387196432	0.32544	0.32544	17.79
ref_02029	11	7.79048498546	0.858490909091	0.141509090909	18.1636363636
ref_02028	9	7.00524305541	0.844044444444	0.155955555556	18.0555555556
ref_00288	8	6.34678748622	0.165075	0.165075	17.0375
noc	10	7.96257350206	0.32385	0.32385	17.92
mrnC	7	7.46092390121	0.565814285714	0.434185714286	14.6285714286
rluD_3	1	5.85078088734	0.0335	0.0335	16.4
ytmI	1	12.474955193	0.0335	0.0335	14.4
ref_00573	1	7.1214782045	0.0526	0.0526	18.3
ftsH	57	6.47625353319	0.475331578947	0.475331578947	17.349122807
arcC1_1	1	7.96257350206	0.0191	0.0191	20.4
ref_00455	2	7.79048498546	0.921	0.079	18.85
ref_00456	5	6.52870828894	0.9372	0.0628	16.98
rplL	3	7.79048498546	0.3396	0.3396	19.0666666667
rplJ	4	7.79048498546	0.499875	0.499875	18.4
rplK	13	7.79048498546	0.5759	0.4241	17.7153846154
mqo2_1	24	7.96257350206	0.495458333333	0.495458333333	17.9275
rplA	16	7.79048498546	0.55794375	0.44205625	18.48125
nupC	58	7.79048498546	0.552956896552	0.447043103448	18.7344827586
ref_00050	1	6.52870828894	0.943	0.057	17.3
rhtC	14	7.96257350206	0.4959	0.4959	18.1214285714
ref_00115	6	7.96257350206	0.0223166666667	0.0223166666667	17.5333333333
metG	3	7.96257350206	0.365366666667	0.365366666667	19.6333333333
ref_00113	18	7.96257350206	0.0308166666667	0.0308166666667	18.9444444444
metE	7	7.96257350206	0.308885714286	0.308885714286	18.4857142857
metI	29	7.96257350206	0.333617241379	0.333617241379	18.0551724138
metN	21	7.1214782045	0.474142857143	0.474142857143	17.5380952381
ref_01626	23	15.0767559814	0.670882608696	0.329117391304	22.5086956522
ref_01620	23	15.0767559814	0.670882608696	0.329117391304	22.5086956522
ref_00624	1	6.72815839346	0.0287	0.0287	17.8
