gene	hits	maxp	avg_af	avg_maf	avg_beta
pth	3	8.87289520164	0.624866666667	0.375133333333	38.2666666667
ref_01615	1	32.9546770212	0.0462	0.0462	17.2
ref_01614	1	32.9546770212	0.0462	0.0462	17.2
rnmV_1	12	25.1343039401	0.456583333333	0.456583333333	6.92916666667
sbnI	1	32.8996294549	0.116	0.116	17.1
speA	3	14.0376306643	0.1864	0.1864	12.5
ywqN	2	25.1343039401	0.166	0.166	12.9
fnbA	7	8.58670023592	0.250857142857	0.250857142857	18.1571428571
ref_01368	5	25.1343039401	0.4048	0.4048	7.174
ywqG	12	25.1343039401	0.456583333333	0.456583333333	6.92916666667
ref_00543	6	10.369572125	0.500483333333	0.499516666667	17.3833333333
ref_01896	3	25.1343039401	0.266333333333	0.266333333333	10.0433333333
ref_01895	1	8.30803489723	0.412	0.412	5.53
recR	3	14.0376306643	0.1864	0.1864	12.5
gluD	1	13.4248121551	0.0537	0.0537	16.8
ref_00112	8	9.36451625319	0.62355	0.37645	11.1875
ywpJ	5	10.3448615652	0.5982	0.4018	17.3
noc	1	14.6655462488	0.141	0.141	8.75
ref_02510	1	8.38404994834	0.0406	0.0406	7.51
cntE	2	14.6655462488	0.09705	0.09705	13.575
ref_00041	3	6.83863199777	0.271	0.271	8.03333333333
hemE	5	8.87289520164	0.30092	0.30092	38.06
ref_02554	1	14.6655462488	0.141	0.141	8.75
hemW	1	8.30803489723	0.412	0.412	5.53
hly	1	31.3819519033	0.329	0.329	16.3
arg	7	16.2034256668	0.326742857143	0.326742857143	11.0071428571
ref_01560	1	31.3819519033	0.329	0.329	16.3
ref_00209	4	10.369572125	0.258475	0.258475	15.475
ref_00208	1	8.66354026615	0.27	0.27	14.7
ref_00201	3	10.369572125	0.483633333333	0.483633333333	17.4333333333
ref_00200	72	25.0222763947	0.142647222222	0.142647222222	11.3838888889
folD	4	28.1101382787	0.58425	0.41575	12.9375
ref_00626	7	16.2034256668	0.326742857143	0.326742857143	11.0071428571
ref_00118	10	18.3726341434	0.82322	0.17678	14.81
ref_00810	2	8.30803489723	0.412	0.412	5.53
ref_00811	2	8.30803489723	0.412	0.412	5.53
rpoB	6	12.714442691	0.589433333333	0.410566666667	13.1
plc	1	8.38404994834	0.0406	0.0406	7.51
sodM	2	8.87289520164	0.4998	0.4998	38.4
ref_02436	1	25.1343039401	0.161	0.161	12.9
ref_01120	8	45.3625102705	0.368	0.368	16.3375
entA_2	8	45.3625102705	0.368	0.368	16.3375
ref_01989	4	32.8996294549	0.1955	0.1955	13.65
bmrA	5	12.2628073573	0.64424	0.35576	13.2
clfB	176	23.920818754	0.433258522727	0.433258522727	8.12494318182
clfA	91	20.3381873145	0.344307692308	0.344307692308	7.53747252747
ref_00433	3	8.30803489723	0.401	0.401	5.53
ref_01924	6	8.93181413825	0.793533333333	0.206466666667	15.0
perR	10	16.2034256668	0.27802	0.27802	9.493
ref_01656	4	28.1101382787	0.58425	0.41575	12.9375
pglF	9	8.87289520164	0.649077777778	0.350922222222	28.6444444444
sarT	11	23.0074464822	0.476545454545	0.476545454545	6.35909090909
sarU	11	23.0074464822	0.476545454545	0.476545454545	6.35909090909
tagU_2	3	9.42945706012	0.660333333333	0.339666666667	25.8
ybiT	3	32.4134126953	0.565666666667	0.434333333333	15.5666666667
ref_02528	3	11.4202164034	0.222	0.222	12.5
iolS	2	25.1343039401	0.166	0.166	12.9
ref_00342	3	8.87289520164	0.393533333333	0.393533333333	38.3
ref_02520	5	45.3362990746	0.4368	0.4368	16.98
ref_00745	4	12.2628073573	0.4013	0.4013	11.25
ref_01850	2	45.3362990746	0.3705	0.3705	16.6
ref_01856	4	11.2668027349	0.70525	0.29475	11.3
glcU_1	3	8.30803489723	0.401	0.401	5.53
sdrC	133	19.4134126953	0.51004962406	0.48995037594	6.58015037594
ref_00872	13	16.2034256668	0.265092307692	0.265092307692	10.1869230769
sdrE	169	18.5316526696	0.501302366864	0.498697633136	6.51840236686
sdrD	222	23.2958494832	0.372417117117	0.372417117117	6.74279279279
yclM	7	7.95078197733	0.826871428571	0.173128571429	10.4857142857
ref_00235	2	14.6655462488	0.09705	0.09705	13.575
copA	3	28.1101382787	0.339333333333	0.339333333333	10.4633333333
ref_00081	10	8.87289520164	0.66207	0.33793	21.021
ref_00124	10	32.4134126953	0.4241	0.4241	15.025
ref_02519	5	45.3362990746	0.4368	0.4368	16.98
ref_00123	10	32.4134126953	0.4241	0.4241	15.025
rnj1	1	14.6655462488	0.141	0.141	8.75
copZ	3	28.1101382787	0.339333333333	0.339333333333	10.4633333333
lepA	1	8.30803489723	0.412	0.412	5.53
glpQ_2	1	13.4248121551	0.0537	0.0537	16.8
trxB	4	11.2668027349	0.70525	0.29475	11.3
tag	3	10.369572125	0.5833	0.4167	17.7666666667
ref_01270	2	32.8996294549	0.1225	0.1225	16.7
mntA	1	32.8996294549	0.116	0.116	17.1
isdA	1	8.81247927916	0.148	0.148	38.1
isdB	1	8.81247927916	0.148	0.148	38.1
