,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.2,0.95174764,0.1903,1,1,1,1.0
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,6_1,Clustered,11,VC_6_1,11,0.4751,1.0,0.4751,3,1,1,0.9818
2,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.2,0.95174764,0.1903,1,1,1,1.0
3,Achromobacter~phage~phiAxp-1,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,12,VC_1_0,12,0.7432,1.0,0.7432,4,1,1,1.0
4,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,6_1,Clustered,11,VC_6_1,11,0.4751,1.0,0.4751,3,1,1,0.9818
5,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,16_0,Clustered,3,VC_16_0,3,1.0,1.0,1.0,1,1,1,1.0
6,Acidianus~bottle-shaped~virus~2,Unassigned,Ampullaviridae,Ampullavirus,16_0,Clustered,3,VC_16_0,3,1.0,1.0,1.0,1,1,1,1.0
7,Acidianus~bottle-shaped~virus~3,Unassigned,Ampullaviridae,Ampullavirus,16_0,Clustered,3,VC_16_0,3,1.0,1.0,1.0,1,1,1,1.0
8,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,17_0,Clustered,6,VC_17_0,6,0.9592,0.99993866,0.9591,1,1,1,1.0
9,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,17_0,Clustered,6,VC_17_0,6,0.9592,0.99993866,0.9591,1,1,1,1.0
10,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,17_0,Clustered,6,VC_17_0,6,0.9592,0.99993866,0.9591,1,1,1,1.0
11,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,17_0,Clustered,6,VC_17_0,6,0.9592,0.99993866,0.9591,1,1,1,1.0
12,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,17_0,Clustered,6,VC_17_0,6,0.9592,0.99993866,0.9591,1,1,1,1.0
13,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,20_0,Clustered,9,VC_20_0,9,0.912,0.99999774,0.912,2,1,1,1.0
14,Acinetobacter~phage~AB1,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
15,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
16,Acinetobacter~phage~AP22,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
17,Acinetobacter~phage~AbP2,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
18,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
19,Acinetobacter~phage~Bphi-B1251,Caudovirales,Siphoviridae,Vieuvirus,39_0,Clustered,3,VC_39_0,3,0.8229,0.98867275,0.8135,1,1,1,1.0
20,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
21,Acinetobacter~phage~IME-AB2,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
22,Acinetobacter~phage~IME200,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
23,Acinetobacter~phage~IME_AB3,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,12,VC_1_0,12,0.7432,1.0,0.7432,4,1,1,1.0
24,Acinetobacter~phage~LZ35,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
25,Acinetobacter~phage~Petty,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
26,Acinetobacter~phage~SH-Ab~15519,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
27,Acinetobacter~phage~WCHABP1,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
28,Acinetobacter~phage~WCHABP12,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
29,Acinetobacter~phage~WCHABP5,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
30,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
31,Acinetobacter~phage~YMC11/11/R3177,Caudovirales,Siphoviridae,Vieuvirus,39_0,Clustered,3,VC_39_0,3,0.8229,0.98867275,0.8135,1,1,1,1.0
32,Acinetobacter~phage~YMC11/12/R2315,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8565,1.0,0.8565,2,1,1,1.0
33,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
34,Acinetobacter~phage~phiAB6,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
35,Acinetobacter~phage~vB_AbaM_Acibel004,Caudovirales,Myoviridae,Unassigned,41_0,Clustered,2,VC_41_0,2,0.1916,0.95249319,0.1825,1,1,1,1.0
36,Acinetobacter~phage~vB_AbaM_phiAbaA1,Caudovirales,Myoviridae,Unassigned,41_0,Clustered,2,VC_41_0,2,0.1916,0.95249319,0.1825,1,1,1,1.0
37,Acinetobacter~phage~vB_AbaP_AS11,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
38,Acinetobacter~phage~vB_AbaP_AS12,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
39,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
40,Acinetobacter~phage~vB_AbaP_B1,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
41,Acinetobacter~phage~vB_AbaP_B3,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
42,Acinetobacter~phage~vB_AbaP_B5,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
43,Acinetobacter~phage~vB_AbaP_D2,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
44,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
45,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
46,Acinetobacter~phage~vB_AbaS_Loki,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,12,VC_1_0,12,0.7432,1.0,0.7432,4,1,1,1.0
47,Acinetobacter~phage~vB_AbaS_TRS1,Caudovirales,Siphoviridae,Vieuvirus,39_0,Clustered,3,VC_39_0,3,0.8229,0.98867275,0.8135,1,1,1,1.0
48,Acinetobacter~phage~vB_ApiP_P1,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
49,Acinetobacter~phage~vB_ApiP_P2,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9331,1.0,0.9331,2,1,1,1.0
50,Aeromonas~phage~AS-gz,Caudovirales,Myoviridae,Tulanevirus,34_1,Clustered,5,VC_34_1,5,0.0934,0.99999993,0.0934,2,1,1,1.0
51,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.0934,0.99999993,0.0934,2,1,1,1.0
52,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.0934,0.99999993,0.0934,2,1,1,1.0
53,Aeromonas~phage~CC2,Caudovirales,Myoviridae,Unassigned,35_0,Clustered,2,VC_35_0,2,0.0337,0.9570189,0.0323,1,1,1,1.0
54,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,35_1,Clustered,3,VC_35_1,3,0.062,0.99855744,0.0619,1,1,1,1.0
55,Aeromonas~phage~pAh6-C,Caudovirales,Myoviridae,Unassigned,53_0,Clustered,5,VC_53_0,5,1.0,1.0,1.0,1,1,1,1.0
56,Aeromonas~phage~pIS4-A,Caudovirales,Siphoviridae,Pis4avirus,55_0,Clustered,5,VC_55_0,5,0.6351,0.99999986,0.6351,2,1,1,1.0
57,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.0934,0.99999993,0.0934,2,1,1,1.0
58,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,35_1,Clustered,3,VC_35_1,3,0.062,0.99855744,0.0619,1,1,1,1.0
59,Aeromonas~phage~phiAS7,Caudovirales,Podoviridae,Unassigned,60_0,Clustered,5,VC_60_0,5,0.5608,0.99999993,0.5608,1,1,1,1.0
60,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.0934,0.99999993,0.0934,2,1,1,1.0
61,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,34_0,Clustered,2,VC_34_0,2,0.0228,0.94815792,0.0216,2,1,1,1.0
62,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,34_0,Clustered,2,VC_34_0,2,0.0228,0.94815792,0.0216,2,1,1,1.0
63,Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,35_0,Clustered,2,VC_35_0,2,0.0337,0.9570189,0.0323,1,1,1,1.0
64,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,35_1,Clustered,3,VC_35_1,3,0.062,0.99855744,0.0619,1,1,1,1.0
65,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,62_0,Clustered,7,VC_62_0,7,0.9621,0.9999996,0.9621,2,1,1,1.0
66,Aggregatibacter~phage~S1249,Caudovirales,Myoviridae,Unassigned,5_0,Clustered,2,VC_5_0,2,0.6934,0.92005725,0.638,1,1,1,1.0
67,Agrobacterium~phage~7-7-1,Caudovirales,Myoviridae,Unassigned,65_0,Clustered,2,VC_65_0,2,0.209,0.9374548,0.1959,2,2,1,1.0
68,Alces~alces~faeces~associated~microvirus~MP10~5560,Unassigned,Microviridae,Unassigned,67_0,Clustered,13,VC_67_0,13,0.8466,1.0,0.8466,3,1,1,1.0
69,Alces~alces~faeces~associated~microvirus~MP12~5423,Unassigned,Microviridae,Unassigned,67_0,Clustered,13,VC_67_0,13,0.8466,1.0,0.8466,3,1,1,1.0
70,Alces~alces~faeces~associated~microvirus~MP15~5067,Unassigned,Microviridae,Unassigned,68_0,Clustered,2,VC_68_0,2,1.0,1.0,1.0,1,1,1,1.0
