snp-dists 0.6.3	GCA_0101358351	GCA_0101378951	GCA_0101429751	GCA_0101430351	GCA_0101430551	GCA_0101430751	GCA_0101430851	GCA_0101430951	GCA_0101431051	GCA_0101431551	GCA_0101431751	GCA_0101431851	GCA_0101431951	GCA_0101433051	GCA_0101435951	GCA_0101436651	GCA_0101437451	GCA_0101439151	GCA_0101441051	GCA_0101443251	GCA_0101445551	GCA_0101446351	GCA_0101451451	GCA_0101616951	GCA_0101617351	GCA_0101618651	GCA_0101620151	GCA_0101623851	GCA_0101625351	GCA_0101626851	GCA_0101629251	GCA_0101693951	GCA_0101694951	GCA_0101710151	GCA_0101710251	GCA_0101710951	GCA_0101713551	GCA_0101713651	GCA_0101714151	GCA_0101715251	GCA_0101715651	GCA_0101716851	GCA_0101718951	GCA_0101720751	GCA_0101721751	GCA_0101721951	GCA_0101722551	GCA_0101723251	GCA_0101723951	GCA_0101724451	GCA_0101724551	GCA_0101724951	GCA_0101726651	Reference	abfrh	abkuz	abkvm	abkwr	abkxb	acvbk	acvce	acvcn	acvco	acvcp	acvcq	acvcr	acvcu	acvcv	acvcw	acvcx	acvdp	acvdq	acvdr	acvds	acvdt	acvdu	acvdv	acvdw	acvdx	acveg	acvek	acvel	acvem	acvep	acveq	acver	acvev	acvew	acvez	acvgi	acvgl	acvgu	acvgw	acvgz	acvha	acvhb	adptn	adpty	adptz	adpug	adpul	adpum	adpvc	adpvf	adpvg	adpvi	adpvj	adpvl	adpvm	adpvo	adpvp	adpvq	adpvz	adpwe	adpwh	adpwj	adpwm	adpwn	adpwo	adpwp	adpwq	adpws	adpwt	adpwu	adpww	adpwx	adpyl	adpym	adpyn	adpyo	adpyp	adpyq	adpyr	adpys	adpzn	adpzo	adpzp	adpzq	adpzr	adpzs	adpzt	adpzu	adpzv	adpzw	adpzx	adpzy	adpzz	adqbt	adqbu	adqbv	adqbw	adqbx	adqby	adqcp	adqcq	adqcu	adqcv	adqcw	adqcx	adqcy	adqcz	adqda	adqdb	adqdh	adqdi	adqdj	adqdk	adqdl	adqdm	adqdn	adqdo	adqdp	adqdq	adqdr	adqds	adqdt	adqdu	adqdv	adqdw	adqdy	adqer	adqes	adqet	adqeu	adqev	adqew	adqex	adqey	adqez	adqfa	adqfb	adqfc	adqfd	adqfe	adqff	adqfg	adqfh	adqfi	adqib	adqic	adqid	adqie	adqif	adqig	adqih	adqii	adtqb	adtqc	adtqd	adtqe	adtqf	adtqg	adtqi	adtqj	adtqk	adtql	adtqm	adtqn	adtqo	adtqp	adtqq	adtqr	adtqs	adtqt	adtqw	adtqx	adtqy	adtqz	adtra	adtrb	adtrj	adtrk	adtrl	adtrm	adtrn	adtro	adtrp	adtrq	adtrr	adtrs	adtrt	adtru	adtrv	adtrw	adtrx	adtry	adtrz	adtsa	adtsb	adtsc	adtsd	adtsg	adtsh	adtsi	adtsk	adtsl	adtsm	adtsn	adtso	adtss	adtsu	adtsv	adtsw	adtsx	adtsy
GCA_0101358351	0	876	6	7	6	4	6	7	6	7	4	9	6	7	4	9	7	0	7	7	4	8	6	7	5	5	7	8	7	7	7	8	9	7	7	7	6	6	7	11	10	7	9	9	7	7	5	7	7	7	6	6	7	642	629	629	621	639	639	644	629	629	629	629	629	629	629	629	630	629	639	638	638	639	638	638	638	616	639	639	638	639	639	644	646	644	644	646	644	644	645	644	644	641	638	640	625	627	625	630	628	627	643	639	639	639	639	644	645	641	642	643	630	630	639	639	640	640	639	639	640	639	639	639	640	639	643	644	644	643	643	644	643	644	643	643	644	644	643	642	643	644	643	642	643	643	644	639	639	639	639	638	638	639	638	643	645	643	643	642	642	644	641	649	650	651	649	648	648	649	649	649	649	649	649	649	651	651	648	649	651	651	649	649	651	651	649	650	650	649	648	651	651	649	649	648	648	648	662	662	662	661	658	662	662	658	658	659	658	663	661	662	661	661	659	658	659	661	659	660	660	659	663	663	658	658	659	658	658	661	673	674	673	673	674	674	674	675	673	675	674	674	673	673	674	674	674	675	674	646	647	646	647	646	646	647	647	646	646	647	647	646	646	651	648
GCA_0101378951	876	0	874	873	872	874	876	873	872	873	874	875	872	873	874	875	873	876	873	873	874	874	872	873	875	875	873	872	873	873	873	874	875	873	873	873	872	876	873	877	874	873	875	879	873	873	871	873	873	873	876	872	871	798	785	785	777	795	795	800	785	785	785	785	785	785	785	785	786	785	795	794	794	795	794	794	794	772	795	795	794	795	795	800	802	800	800	802	800	800	801	800	800	797	794	796	781	783	781	786	784	783	799	795	795	795	795	800	801	797	798	799	786	786	795	795	796	796	795	795	796	795	795	795	796	795	799	800	800	799	799	800	799	800	799	799	800	800	799	798	799	800	799	798	799	799	800	795	795	795	795	794	794	795	794	799	801	799	799	798	798	800	797	805	806	807	805	804	804	805	805	805	805	805	805	805	807	807	804	805	807	807	805	805	807	807	805	806	806	805	804	807	807	805	805	804	804	804	818	818	818	817	814	818	818	814	814	815	814	819	817	818	817	817	815	814	815	817	815	816	816	815	819	819	814	814	815	814	814	817	829	830	829	829	830	830	830	831	829	831	830	830	829	829	830	830	830	831	830	802	803	802	803	802	802	803	803	802	802	803	803	802	802	807	804
GCA_0101429751	6	874	0	7	6	4	4	7	6	7	4	9	6	7	2	9	7	6	7	7	2	8	6	7	1	1	7	8	7	7	7	8	9	7	7	7	6	2	7	11	10	7	9	9	7	7	5	7	7	7	2	6	7	640	627	627	619	637	637	642	627	627	627	627	627	627	627	627	628	627	637	636	636	637	636	636	636	614	637	637	636	637	637	642	644	642	642	644	642	642	643	642	642	639	636	638	623	625	623	628	626	625	641	637	637	637	637	642	643	639	640	641	628	628	637	637	638	638	637	637	638	637	637	637	638	637	641	642	642	641	641	642	641	642	641	641	642	642	641	640	641	642	641	640	641	641	642	637	637	637	637	636	636	637	636	641	643	641	641	640	640	642	639	647	648	649	647	646	646	647	647	647	647	647	647	647	649	649	646	647	649	649	647	647	649	649	647	648	648	647	646	649	649	647	647	646	646	646	660	660	660	659	656	660	660	656	656	657	656	661	659	660	659	659	657	656	657	659	657	658	658	657	661	661	656	656	657	656	656	659	671	672	671	671	672	672	672	673	671	673	672	672	671	671	672	672	672	673	672	644	645	644	645	644	644	645	645	644	644	645	645	644	644	649	646
GCA_0101430351	7	873	7	0	1	5	7	2	1	4	5	4	3	4	5	6	4	7	4	4	5	3	3	4	6	6	4	5	4	4	4	3	6	4	4	2	3	7	4	6	7	4	4	10	2	2	2	4	2	4	7	1	4	639	626	626	618	636	636	641	626	626	626	626	626	626	626	626	627	626	636	635	635	636	635	635	635	613	636	636	635	636	636	641	643	641	641	643	641	641	642	641	641	638	635	637	622	624	622	627	625	624	640	636	636	636	636	641	642	638	639	640	627	627	636	636	637	637	636	636	637	636	636	636	637	636	640	641	641	640	640	641	640	641	640	640	641	641	640	639	640	641	640	639	640	640	641	636	636	636	636	635	635	636	635	640	642	640	640	639	639	641	638	646	647	648	646	645	645	646	646	646	646	646	646	646	648	648	645	646	648	648	646	646	648	648	646	647	647	646	645	648	648	646	646	645	645	645	659	659	659	658	655	659	659	655	655	656	655	660	658	659	658	658	656	655	656	658	656	657	657	656	660	660	655	655	656	655	655	658	670	671	670	670	671	671	671	672	670	672	671	671	670	670	671	671	671	672	671	643	644	643	644	643	643	644	644	643	643	644	644	643	643	648	645
GCA_0101430551	6	872	6	1	0	4	6	1	0	3	4	3	2	3	4	5	3	6	3	3	4	2	2	3	5	5	3	4	3	3	3	2	5	3	3	1	2	6	3	5	6	3	3	9	1	1	1	3	1	3	6	0	3	638	625	625	617	635	635	640	625	625	625	625	625	625	625	625	626	625	635	634	634	635	634	634	634	612	635	635	634	635	635	640	642	640	640	642	640	640	641	640	640	637	634	636	621	623	621	626	624	623	639	635	635	635	635	640	641	637	638	639	626	626	635	635	636	636	635	635	636	635	635	635	636	635	639	640	640	639	639	640	639	640	639	639	640	640	639	638	639	640	639	638	639	639	640	635	635	635	635	634	634	635	634	639	641	639	639	638	638	640	637	645	646	647	645	644	644	645	645	645	645	645	645	645	647	647	644	645	647	647	645	645	647	647	645	646	646	645	644	647	647	645	645	644	644	644	658	658	658	657	654	658	658	654	654	655	654	659	657	658	657	657	655	654	655	657	655	656	656	655	659	659	654	654	655	654	654	657	669	670	669	669	670	670	670	671	669	671	670	670	669	669	670	670	670	671	670	642	643	642	643	642	642	643	643	642	642	643	643	642	642	647	644
GCA_0101430751	4	874	4	5	4	0	4	5	4	5	2	7	4	5	2	7	5	4	5	5	2	6	4	5	3	3	5	6	5	5	5	6	7	5	5	5	4	4	5	9	8	5	7	7	5	5	3	5	5	5	4	4	5	640	627	627	619	637	637	642	627	627	627	627	627	627	627	627	628	627	637	636	636	637	636	636	636	614	637	637	636	637	637	642	644	642	642	644	642	642	643	642	642	639	636	638	623	625	623	628	626	625	641	637	637	637	637	642	643	639	640	641	628	628	637	637	638	638	637	637	638	637	637	637	638	637	641	642	642	641	641	642	641	642	641	641	642	642	641	640	641	642	641	640	641	641	642	637	637	637	637	636	636	637	636	641	643	641	641	640	640	642	639	647	648	649	647	646	646	647	647	647	647	647	647	647	649	649	646	647	649	649	647	647	649	649	647	648	648	647	646	649	649	647	647	646	646	646	660	660	660	659	656	660	660	656	656	657	656	661	659	660	659	659	657	656	657	659	657	658	658	657	661	661	656	656	657	656	656	659	671	672	671	671	672	672	672	673	671	673	672	672	671	671	672	672	672	673	672	644	645	644	645	644	644	645	645	644	644	645	645	644	644	649	646
GCA_0101430851	6	876	4	7	6	4	0	7	6	7	4	9	6	7	2	9	7	6	7	7	2	8	6	7	3	3	7	8	7	7	7	8	9	7	7	7	6	4	7	11	10	7	9	9	7	7	5	7	7	7	4	6	7	642	629	629	621	639	639	644	629	629	629	629	629	629	629	629	630	629	639	638	638	639	638	638	638	616	639	639	638	639	639	644	646	644	644	646	644	644	645	644	644	641	638	640	625	627	625	630	628	627	643	639	639	639	639	644	645	641	642	643	630	630	639	639	640	640	639	639	640	639	639	639	640	639	643	644	644	643	643	644	643	644	643	643	644	644	643	642	643	644	643	642	643	643	644	639	639	639	639	638	638	639	638	643	645	643	643	642	642	644	641	649	650	651	649	648	648	649	649	649	649	649	649	649	651	651	648	649	651	651	649	649	651	651	649	650	650	649	648	651	651	649	649	648	648	648	662	662	662	661	658	662	662	658	658	659	658	663	661	662	661	661	659	658	659	661	659	660	660	659	663	663	658	658	659	658	658	661	673	674	673	673	674	674	674	675	673	675	674	674	673	673	674	674	674	675	674	646	647	646	647	646	646	647	647	646	646	647	647	646	646	651	648
GCA_0101430951	7	873	7	2	1	5	7	0	1	4	5	4	3	4	5	6	4	7	4	4	5	3	3	4	6	6	4	5	4	4	4	3	6	4	4	2	3	7	4	6	7	4	4	10	2	2	2	4	2	4	7	1	4	639	626	626	618	636	636	641	626	626	626	626	626	626	626	626	627	626	636	635	635	636	635	635	635	613	636	636	635	636	636	641	643	641	641	643	641	641	642	641	641	638	635	637	622	624	622	627	625	624	640	636	636	636	636	641	642	638	639	640	627	627	636	636	637	637	636	636	637	636	636	636	637	636	640	641	641	640	640	641	640	641	640	640	641	641	640	639	640	641	640	639	640	640	641	636	636	636	636	635	635	636	635	640	642	640	640	639	639	641	638	646	647	648	646	645	645	646	646	646	646	646	646	646	648	648	645	646	648	648	646	646	648	648	646	647	647	646	645	648	648	646	646	645	645	645	659	659	659	658	655	659	659	655	655	656	655	660	658	659	658	658	656	655	656	658	656	657	657	656	660	660	655	655	656	655	655	658	670	671	670	670	671	671	671	672	670	672	671	671	670	670	671	671	671	672	671	643	644	643	644	643	643	644	644	643	643	644	644	643	643	648	645
GCA_0101431051	6	872	6	1	0	4	6	1	0	3	4	3	2	3	4	5	3	6	3	3	4	2	2	3	5	5	3	4	3	3	3	2	5	3	3	1	2	6	3	5	6	3	3	9	1	1	1	3	1	3	6	0	3	638	625	625	617	635	635	640	625	625	625	625	625	625	625	625	626	625	635	634	634	635	634	634	634	612	635	635	634	635	635	640	642	640	640	642	640	640	641	640	640	637	634	636	621	623	621	626	624	623	639	635	635	635	635	640	641	637	638	639	626	626	635	635	636	636	635	635	636	635	635	635	636	635	639	640	640	639	639	640	639	640	639	639	640	640	639	638	639	640	639	638	639	639	640	635	635	635	635	634	634	635	634	639	641	639	639	638	638	640	637	645	646	647	645	644	644	645	645	645	645	645	645	645	647	647	644	645	647	647	645	645	647	647	645	646	646	645	644	647	647	645	645	644	644	644	658	658	658	657	654	658	658	654	654	655	654	659	657	658	657	657	655	654	655	657	655	656	656	655	659	659	654	654	655	654	654	657	669	670	669	669	670	670	670	671	669	671	670	670	669	669	670	670	670	671	670	642	643	642	643	642	642	643	643	642	642	643	643	642	642	647	644
GCA_0101431551	7	873	7	4	3	5	7	4	3	0	5	6	3	4	5	6	4	7	4	4	5	5	3	4	6	6	4	5	4	4	4	5	6	4	4	4	3	7	4	8	7	4	6	10	4	4	2	4	4	4	7	3	4	639	626	626	618	636	636	641	626	626	626	626	626	626	626	626	627	626	636	635	635	636	635	635	635	613	636	636	635	636	636	641	643	641	641	643	641	641	642	641	641	638	635	637	622	624	622	627	625	624	640	636	636	636	636	641	642	638	639	640	627	627	636	636	637	637	636	636	637	636	636	636	637	636	640	641	641	640	640	641	640	641	640	640	641	641	640	639	640	641	640	639	640	640	641	636	636	636	636	635	635	636	635	640	642	640	640	639	639	641	638	646	647	648	646	645	645	646	646	646	646	646	646	646	648	648	645	646	648	648	646	646	648	648	646	647	647	646	645	648	648	646	646	645	645	645	659	659	659	658	655	659	659	655	655	656	655	660	658	659	658	658	656	655	656	658	656	657	657	656	660	660	655	655	656	655	655	658	670	671	670	670	671	671	671	672	670	672	671	671	670	670	671	671	671	672	671	643	644	643	644	643	643	644	644	643	643	644	644	643	643	648	645
