sample	I	II	III	IV	V	VI	VII	VIII	IX	meca	Ia	IIa	IIb	IIIa	IVa	IVb	IVc	IVd	IVg	IVh
GCA_0101467151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101396751	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
GCA_0101489551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995518	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995770	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101711551	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101675751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995441	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101679151	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True
GCA_0101399251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101388851	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995989	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995497	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101613451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995858	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101653351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adtun	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995844	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996069	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101714651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101451851	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101453651	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101501551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017243	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101508651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101587151	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
ERR2309528	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101614751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101706951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101493451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101701951	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True
GCA_0101456351	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101385951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101585951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
GCA_0101532751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101606251	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True
acvga	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
