genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GCA_000452885.1_ASM45288v1_genomic.fna,1_1,0.0050000000000000044,average,ANImf,1
GCA_001307235.1_ASM130723v1_genomic.fna,1_1,0.0050000000000000044,average,ANImf,1
GCA_020388785.1_ASM2038878v1_genomic.fna,1_1,0.0050000000000000044,average,ANImf,1
GCA_000174575.1_ASM17457v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_003419355.1_ASM341935v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_011027215.1_ASM1102721v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_011031735.1_ASM1103173v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_012650835.1_ASM1265083v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_012652745.1_ASM1265274v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_015578535.1_PDT000811589.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_015580355.1_PDT000811515.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_015581125.1_PDT000811443.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_018150815.1_PDT001013937.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_018153385.1_PDT001013837.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_018184695.1_PDT001012967.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_018605965.1_PDT001049011.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_019501925.1_PDT001106255.1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_019712115.1_ASM1971211v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_020074545.1_ASM2007454v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_020663885.1_ASM2066388v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_021012635.1_ASM2101263v1_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_900045785.1_7414_7_76_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_900083035.1_12673_5_94_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_900083105.1_12971_2_19_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_900083125.1_12971_2_31_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
