gene	hits	maxp	avg_af	avg_maf	avg_beta	COG	eggNOG_annot
dnaA	11	7.96257350206	0.373736363636	0.373736363636	19.5363636364	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
dnaN	16	7.96257350206	0.436375	0.436375	18.841875	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria
recF	6	7.96257350206	0.354983333333	0.354983333333	18.65	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP
gyrB	14	7.96257350206	0.500764285714	0.499235714286	18.8714285714	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
gyrA	21	7.96257350206	0.435457142857	0.435457142857	18.3428571429	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
serS	18	7.96257350206	0.183666666667	0.183666666667	19.0611111111	J	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)
smcL	30	7.96257350206	0.2086	0.2086	19.3133333333	S	Endonuclease/Exonuclease/phosphatase family
ygaZ	11	7.96257350206	0.1761	0.1761	19.0454545455	E	Azaleucine resistance
ref_00011	5	7.96257350206	0.41338	0.41338	18.1	S	Branched-chain amino acid transport protein (AzlD)
metXA	18	7.96257350206	0.297155555556	0.297155555556	17.6833333333	E	Belongs to the AB hydrolase superfamily. MetX family
ref_00013	8	7.96257350206	0.38875	0.38875	18.4625	S	Predicted membrane protein (DUF2232)
gdpP	15	7.34582345812	0.40288	0.40288	17.7933333333	T	signaling protein consisting of a modified GGDEF domain and a DHH domain
dnaC	12	7.96257350206	0.262358333333	0.262358333333	19.5333333333	L	Participates in initiation and elongation during chromosome replication
purA	20	7.96257350206	0.11676	0.11676	19.31	F	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
walR	17	7.96257350206	0.132017647059	0.132017647059	19.3764705882	K	Transcriptional regulatory protein WalR
walK	20	7.96257350206	0.312035	0.312035	18.095	T	WalK functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to WalR
ref_00022	3	7.34582345812	0.647633333333	0.352366666667	18.5666666667	S	YycH protein
ref_00022	20	7.96257350206	0.408405	0.408405	17.95	S	YycH protein
yycI	23	7.96257350206	0.101095652174	0.101095652174	18.6913043478	S	YycH protein
yycJ	35	7.96257350206	0.0509828571429	0.0509828571429	18.4971428571	S	Metal-dependent hydrolases of the beta-lactamase superfamily I
rlmH	31	7.96257350206	0.180467741935	0.180467741935	18.3806451613	J	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
ref_00038	1	7.2076083105	0.067	0.067	13.4	L	Recombinase zinc beta ribbon domain
ref_00049	2	6.74957999769	0.9405	0.0595	17.5	L	Transposase
ref_00050	1	6.52870828894	0.943	0.057	17.3	V	Protein of unknown function (DUF1643)
ref_00074	2	7.96257350206	0.09555	0.09555	15.16	L	COG3316 Transposase and inactivated derivatives
garB	1	5.8894102897	0.172	0.172	9.92	C	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
isaB_1	1	7.1214782045	0.0526	0.0526	18.3		
copB	19	7.96257350206	0.4353	0.4353	13.8589473684	P	P-type ATPase
gloB	2	7.84466396253	0.4282	0.4282	13.975	P	Rhodanese Homology Domain
ref_00140	7	6.72815839346	0.143628571429	0.143628571429	17.9142857143	NA	NA
ref_00141	17	7.96257350206	0.3505	0.3505	18.0647058824	S	Protein of unknown function (DUF1433)
ref_00142	26	7.96257350206	0.258557692308	0.258557692308	17.6384615385		
dus	22	8.08830984125	0.501645454545	0.498354545455	17.3090909091	J	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
mqo2_1	24	7.96257350206	0.495458333333	0.495458333333	17.9275	C	malate quinone oxidoreductase
golD	5	7.96257350206	0.5905	0.4095	18.26	IQ	KR domain
ref_00148	11	7.96257350206	0.194954545455	0.194954545455	17.9545454545	S	Isoprenylcysteine carboxyl methyltransferase (ICMT) family
uhpT	6	7.96257350206	0.183483333333	0.183483333333	17.8333333333	G	Major Facilitator Superfamily
bioF	2	6.37778597703	0.5002	0.4998	18.1	E	COG0156 7-keto-8-aminopelargonate synthetase and related enzymes
lip2_1	6	7.282329497	0.3588	0.3588	18.05	D	acetyltransferases and hydrolases with the alpha beta hydrolase fold
ref_00168	10	7.96257350206	0.21335	0.21335	17.97	M	Csa1 family
ref_00169	5	6.57839607313	0.37436	0.37436	17.46	M	Csa1 family
ref_00170	11	6.57839607313	0.204372727273	0.204372727273	17.5	S	Cobalamin synthesis protein
ref_00171	2	6.57839607313	0.47135	0.47135	17.7	P	COG0370 Fe2 transport system protein B
ref_00172	1	6.20065945055	0.067	0.067	16.9	P	Pyridine nucleotide-disulphide oxidoreductase
znuA_1	17	6.37778597703	0.359541176471	0.359541176471	17.3352941176	P	Belongs to the bacterial solute-binding protein 9 family
apbE	12	6.34678748622	0.493333333333	0.493333333333	17.2833333333	H	Flavin transferase that catalyzes the transfer of the FMN moiety of FAD and its covalent binding to the hydroxyl group of a threonine residue in a target flavoprotein
lnrL	3	6.57839607313	0.652233333333	0.347766666667	17.5666666667	V	ABC transporter, ATP-binding protein
ref_00179	10	6.57839607313	0.3134	0.3134	17.59	V	ABC-type multidrug transport system, permease component
cntK	30	6.57839607313	0.38163	0.38163	17.6733333333	E	Diaminopimelate epimerase
cntL	15	6.57839607313	0.41802	0.41802	17.5266666667	S	alcohol dehydrogenase
cntM	25	7.07417242538	0.24428	0.24428	17.42	S	Staphylopine dehydrogenase
cntA	4	6.37778597703	0.3076	0.3076	17.75	E	COG0747 ABC-type dipeptide transport system, periplasmic component
cntC	3	6.57839607313	0.0636333333333	0.0636333333333	16.9	P	COG1173 ABC-type dipeptide oligopeptide nickel transport systems, permease components
cntF	7	7.96257350206	0.332214285714	0.332214285714	18.6714285714	EP	ABC transporter, ATP-binding protein
